study_id;authors;year;differing_fields;claude_method;gemini_method;claude_outcome;gemini_outcome;claude_direction;gemini_direction;claude_conditions;gemini_conditions;gemini_key_finding;row_type;resolution
S19;Pesqueira A.;2024;"method; outcome_construct; effect_direction";case study;mixed;performance;both;positive;conditional;"alignment with regulatory/ethical governance (EU AI Act, GDPR) as boundary requirement; adopters face governance and compliance challenges";"Robust governance frameworks; ethical considerations; regulatory compliance (AI Act, GDPR)";AI adoption in pharmaceutical tendering enhances operational efficiency and provides a competitive advantage, but only when paired with robust governance frameworks that ensure ethical use and compliance with regulations like the AI Act and GDPR.;DISAGREEMENT;"mixed + both + conditional (adjudicated by Arthur, 18 Jul 2026, full-text read: dual-method design with evidential Delphi ratings; CA expert-rated dimension in inherently competitive tender context; paper concludes success contingent on governance/readiness/senior management)"
S21;Sullivan Y.;2024;effect_direction;survey-SEM;survey-SEM;performance;performance;positive;conditional;"adaptive response to market changes (ARMC, mediator); environmental hostility and dynamism moderate the AI-capability -> ARMC paths";"environmental hostility; environmental dynamism";AI capabilities improve firm performance and innovation by enhancing adaptive response to market changes, and this effect is moderated by environmental hostility and dynamism.;DISAGREEMENT;"conditional (adjudicated by Arthur, 18 Jul 2026, full-text read: AI->performance entirely indirect via ARMC; AI-relational path 0.10 n.s. in final model, analytics only marginal; only 10/18 conditional indirect effects significant)"
S26;Banna H.;2025;effect_direction;panel econometrics;panel econometrics;performance;performance;conditional;mixed;"U-SHAPE: early AI investment hurts revenue growth (upfront costs/inefficiencies), long-term gains with experience; coupling with R&D innovation strategy amplifies (standalone AI insufficient)";"R&D innovation strategy; firm size";AI investment has a U-shaped effect on firm revenue growth, and this relationship is positively moderated by the firm's R&D and innovation strategy.;DISAGREEMENT;"conditional (adjudicated by Arthur, 18 Jul 2026, full-text read: U-shape = sign flip along investment level with computed turning point ~USD 11.3M; single outcome, threshold condition - not component-split mixed)"
S28;Bin-Nashwan S.A.;2025;effect_direction;survey-SEM;survey-SEM;performance;performance;positive;conditional;"green human capital + green structural capital (mediators; relational capital NOT significant); sustainability culture (moderator)";"green human capital; green structural capital; sustainability culture";AI-infused knowledge enhances accounting firm performance by improving green human and structural capital, an effect that is strengthened by the firm's sustainability culture.;DISAGREEMENT;"conditional (adjudicated by Arthur, 18 Jul 2026, full-text read: no direct AIK->performance path in model; effect only via GHC/GSC, GRC channel null; SUC moderates); sample corrected to 433 Chinese accounting professionals"
S31;Chiu S.Y.;2025;effect_direction;DEA;DEA;performance;performance;mixed;positive;"AI innovation enhances SUSTAINABILITY-stage efficiency; profit efficiency driven by size and leverage instead; ESG implementation gap in otherwise competitive firms";sustainability efficiency;AI-driven innovation, measured by patent activity, enhances the sustainability efficiency of semiconductor firms, while profitability is more strongly associated with firm size and leverage.;DISAGREEMENT;mixed (adjudicated by Arthur, 18 Jul 2026, full-text read: AI patents positive on Sustainability AND Market stage efficiency, insignificant on Profit stage - component split)
S36;Huang C.K.;2025;"outcome_construct; effect_direction";panel econometrics;panel econometrics;performance;both;mixed;positive;"first-mover advantage NOT uniformly positive across indicators; better-performing firms do not gain uniformly either";"first-mover status; industry";AI adoption in non-IT firms is associated with improved financial performance and market value, but the benefits for first-movers and firms in certain industries are not uniformly positive across all performance metrics.;DISAGREEMENT;"performance + mixed (adjudicated by Arthur, 18 Jul 2026, full-text read: outcomes = financial ratios, productivity, Tobin q - no CA construct; productivity insignificant, first movers partially negative -> not uniformly positive)"
S37;Kumar A.;2025;method;mixed;survey-SEM;performance;performance;positive;positive;"ethical leadership (moderator of GenAI adoption -> performance); adoption reasons for/against (uniqueness, information completeness, convenience, deceptiveness)";ethical leadership;GenAI adoption positively influences firm performance, and this relationship is strengthened when the firm has strong ethical leadership.;DISAGREEMENT;"survey-SEM (adjudicated by Arthur, 18 Jul 2026, full-text read: AI->performance link tested only in Study 2 SEM; Study 1 interviews yield adoption-reason hypotheses - consistent rule: method = strategy generating the AI->outcome evidence)"
S41;Shi Y.;2025;effect_direction;panel econometrics;panel econometrics;performance;performance;conditional;positive;"data assets (mediator); managerial capability (moderator - stronger teams extract more value); heterogeneity: SOEs stronger, heavy polluters only with credible green transition, only non-asset-intensive firms";"data assets (mediator); managerial capability (moderator); state-owned enterprise status; non-polluting industry; non-asset-intensive firms";AI adoption increases firm value, an effect mediated by data assets and enhanced by managerial capability, particularly in state-owned, non-polluting, and non-asset-intensive firms.;DISAGREEMENT;"positive (adjudicated by Arthur, 18 Jul 2026, full-text read: significant DIRECT effect 0.0483 (z=10.26) + 45.6% mediation via data assets; subgroup nulls (polluters, asset-intensive) are boundary conditions, not existence conditions - rule: clear average main effect -> its sign)"
S47;Alnofeli K.K.;2026;method;mixed;survey-SEM;both;both;positive;positive;marketing ambidexterity (mediator: exploration/exploitation balance carries the effect);marketing ambidexterity;Developing AI-powered CRM as a higher-order capability enhances a firm's marketing ambidexterity, which in turn drives greater profitability and competitive advantage.;DISAGREEMENT;APPROVED (Arthur, batch session 18 Jul 2026): survey-SEM (see adjudication_briefs.md, batch of 18 Jul 2026 - awaiting Arthur batch review)
S48;Arshad F.M.;2026;"method; effect_direction";panel econometrics;survey-SEM;performance;performance;mixed;conditional;"COMPLEMENTARITY: joint RPA+AI implementation -> revenue growth beyond separate effects; NO extra cost reduction; strategic intent (revenue-growth intent) amplifies revenue outcomes";strategic intent for revenue growth;The joint implementation of RPA and AI is associated with increased firm performance through revenue growth, driven by price premiums, rather than cost reduction, and this effect is amplified by a strategic intent for growth.;DISAGREEMENT;APPROVED (Arthur, batch session 18 Jul 2026): method=survey-based regression (verbatim) + direction=mixed (see adjudication_briefs.md, batch of 18 Jul 2026 - awaiting Arthur batch review)
S52;Filieri R.;2026;effect_direction;panel econometrics;panel econometrics;performance;performance;conditional;positive;"INVERTED U: tariff exposure induces AI integration and performance gains, but extreme exposure erodes AIs compensatory effect; customer engagement needs strengthen the effect";"customer engagement needs; inverted U-shape with tariff exposure";Chinese firms respond to US tariff exposure by increasing AI integration, which improves firm performance, especially for firms with high customer engagement needs, though the benefits diminish at extreme tariff levels.;DISAGREEMENT;APPROVED (Arthur, batch session 18 Jul 2026): conditional (inverted U) (see adjudication_briefs.md, batch of 18 Jul 2026 - awaiting Arthur batch review)
S53;Giordino D.;2026;"; conditions-existence";panel econometrics;panel econometrics;performance;performance;positive;positive;"parallel gains: environmental and social pillar scores rise with AI focus; governance pillar not significant";;A firm's focus on AI is positively associated with both its financial performance (ROA, Tobin's Q) and its environmental and social sustainability scores.;DISAGREEMENT;APPROVED (Arthur, batch session 18 Jul 2026): conditions=empty (see adjudication_briefs.md, batch of 18 Jul 2026 - awaiting Arthur batch review)
S55;Li L.;2026;effect_direction;survey-SEM;survey-SEM;competitive_advantage;competitive_advantage;positive;conditional;"distributive + procedural supply-chain justice (mediators); supply-chain complexity weakens the distributive (not procedural) path";"distributive justice; procedural justice; supply chain complexity";Responsible AI fosters competitive advantage by enhancing supply chain partners' perceptions of distributive and procedural justice, an indirect effect that is partially dampened for distributive justice under high supply chain complexity.;DISAGREEMENT;APPROVED (Arthur, batch session 18 Jul 2026): conditional (direct path n.s.) (see adjudication_briefs.md, batch of 18 Jul 2026 - awaiting Arthur batch review)
S56;Li L.;2026;"method; outcome_construct";survey-SEM;panel econometrics;competitive_advantage;performance;positive;positive;"three GenAI affordances mediate technological opportunism -> CA; competitive intensity amplifies ONLY the creational-affordance path";"internal control quality (mediator); non-state ownership; large firm size; manufacturing industry; high-tech intensity";AI adoption enhances firm total factor productivity, an effect that is partially mediated by improvements in internal control quality.;DISAGREEMENT;RESOLVED: PDF re-downloaded, Gemini re-run -> full agreement (survey-SEM/competitive_advantage/conditional), dispute void (18 Jul 2026)
S60;Liu Z.;2026;effect_direction;mixed;mixed;performance;performance;positive;conditional;"regional regulatory climate moderates the innovation->productivity link; regulatory CLARITY + SUPPORTIVE enforcement jointly maximize the productivity pathway (moderated mediation)";"pro-innovation regulatory climate; regulatory clarity; supportive enforcement; productivity gains (mediator)";The study finds that AI-enabled innovation positively impacts firm growth via productivity gains, but this effect is significantly amplified by a clear and supportive regulatory climate.;DISAGREEMENT;APPROVED (Arthur, batch session 18 Jul 2026): positive (direct+indirect present) (see adjudication_briefs.md, batch of 18 Jul 2026 - awaiting Arthur batch review)
S61;Mukherjee S.;2026;effect_direction;survey-SEM;survey-SEM;performance;performance;conditional;positive;drivers as conditions: perceived ease of use, competitive pressure, IT infrastructure, government policy support - technological, organisational and environmental factors supplement each other;"perceived ease of use; perceived usefulness; government support; competitive pressure; top management support; IT infrastructure";In Indian luxury hotels, managerial intention to adopt AI—driven by technological, organizational, and environmental factors—is positively associated with enhanced service performance.;DISAGREEMENT;APPROVED (Arthur, batch session 18 Jul 2026): positive (drivers are adoption antecedents) (see adjudication_briefs.md, batch of 18 Jul 2026 - awaiting Arthur batch review)
S63;Renfei C.;2026;effect_direction;survey-SEM;survey-SEM;performance;performance;conditional;positive;"tiered enabling mechanism; prescriptive capabilities FAIL to deliver; firm type as core boundary: Industry-4.0 manufacturers gain (0.58***), traditional manufacturers significantly less";Type of manufacturing firm (traditional vs. Industry 4.0);AI capabilities enhance corporate sustainability performance for Chinese manufacturing firms, an effect that is stronger in Industry 4.0 firms, though prescriptive capabilities specifically were found to be ineffective.;DISAGREEMENT;APPROVED (Arthur, batch session 18 Jul 2026): positive (weaker-not-null subgroup) (see adjudication_briefs.md, batch of 18 Jul 2026 - awaiting Arthur batch review)
S65;Song X.;2026;effect_direction;panel econometrics;panel econometrics;performance;performance;conditional;negative;substantiation is the condition: unsubstantiated AI claims attract investors initially, then yield negative reactions and sustained underperformance;public AI literacy;Exaggerating AI adoption in corporate disclosures without substantive implementation leads to initial investor enthusiasm but ultimately results in negative market reactions and poorer firm performance.;DISAGREEMENT;APPROVED (Arthur, batch session 18 Jul 2026): negative (net effect of overclaiming) (see adjudication_briefs.md, batch of 18 Jul 2026 - awaiting Arthur batch review)
S67;Wang S.;2026;effect_direction;mixed;mixed;performance;performance;conditional;positive;"strategic resilience FULLY mediates (AI capability alone has no direct path); fsQCA: equifinal configurations to high performance";strategic resilience (full mediator);AI innovation capability improves firm performance not directly, but by first enhancing the organization's strategic resilience, which is its capacity to adapt to and learn from disruptions.;DISAGREEMENT;APPROVED (Arthur, batch session 18 Jul 2026): conditional (full mediation) (see adjudication_briefs.md, batch of 18 Jul 2026 - awaiting Arthur batch review)
S38;Mehta P.;2025;;mixed;mixed;both;both;positive;positive;"manager personality traits (Big Five) drive adoption; competitive advantage mediates adoption -> performance; organizational culture moderates (agreeableness -> adoption)";"competitive advantage (mediation); organisational culture (moderation)";This study finds that AI adoption by key account managers, driven by their personality traits, enhances competitive advantage and firm performance, a process in which competitive advantage acts as a mediator and organizational culture as a moderator.;SAMPLE;
S08;Lui A.K.H.;2022;;event study;event study;performance;performance;negative;negative;"nonmanufacturing firms (more negative); weak IT capability (more negative); low credit rating (more negative)";"IT capability; credit rating; industry type";On average, AI investment announcements negatively impact firm value, with this negative effect being more pronounced for non-manufacturing firms and firms with weak IT capabilities or low credit ratings.;SAMPLE;
S43;Tao Y.;2025;;survey-SEM;survey-SEM;performance;performance;positive;positive;"AI capabilities (mediator: BDAI assimilation alone insufficient); electronic supply-chain collaboration (moderator, strengthens the indirect effect)";"AI capabilities; electronic supply chain collaboration";The positive effect of big data analytical intelligence assimilation on new product performance is mediated by the firm's AI capabilities and positively moderated by the level of electronic supply chain collaboration.;SAMPLE;
S32;D’Amico E.;2025;;panel econometrics;panel econometrics;performance;performance;conditional;conditional;"complementarity with own R&D investment (AI pays only if it complements internal R&D); AI SUBSTITUTES knowledge collaboration with certain external partners";"firm's own R&D investment; knowledge collaboration with external partners";AI adoption enhances innovation performance when complemented by internal R&D investment and can substitute for knowledge collaboration with external partners.;SAMPLE;
S42;Song D.;2025;;event study;event study;performance;performance;negative;negative;"small firms hit harder; recent years more negative; failure-type order effect: accuracy > safety > privacy > fairness";"firm size; event year; failure type (accuracy, safety, privacy, fairness)";AI service failure events negatively impact firm value, with smaller firms and more recent events showing a stronger negative effect.;SAMPLE;
S13;Huang C.K.T.;2023;;event study;event study;performance;performance;positive;positive;"announcement detail (detailed > vague); IT vs non-IT firms (sig. difference); frequency of negative words in announcement (negative correlation)";"announcement detail; firm type (IT vs. non-IT); negative language";Public announcements of AI implementation are associated with positive short-term stock market returns, with stronger effects for detailed announcements and for non-IT companies.;SAMPLE;
S40;Sandeep M.M.;2025;;survey-SEM;survey-SEM;competitive_advantage;competitive_advantage;positive;positive;"HR competencies + open innovation -> dynamic capabilities (mediator); financial support + IT infrastructure as enabling resources";"HR competencies; open innovation; financial support; IT infrastructure; dynamic managerial capabilities; innovation capability";AI adoption in recruitment leads to competitive advantage when supported by dynamic managerial and innovation capabilities, which in turn are built on resources like HR competence, open innovation, and financial/IT support.;SAMPLE;
S03;Chatterjee S.;2021;;survey-SEM;survey-SEM;both;both;positive;positive;firm size, firm age, industry type examined as moderators - VERIFY which are significant on final pass;"B2B engagement; employee experience; B2B information processing capability";Successful AI-CRM implementation positively impacts firm performance and competitive advantage, an effect mediated by improvements in B2B engagement, employee experience, and information processing capabilities.;SAMPLE;both (adjudicated by Arthur, 18 Jul 2026, full-text read: COA measured as own construct - 3-item scale, own hypothesis H4 (0.59***, R2=.76), discriminant validity vs OP confirmed)
S14;Krakowski S.;2023;;panel econometrics;panel econometrics;both;both;conditional;conditional;"substitution: traditional human capabilities become obsolete; complementation: new human-machine capabilities emerge that are unrelated or negatively related to traditional ones";"human-machine interaction capabilities; selecting, tuning, and governing AI";AI adoption substitutes traditional human capabilities, eroding their value, while simultaneously creating a new source of competitive advantage based on novel, complementary human-machine interaction skills.;SAMPLE;
S29;Cao L.;2025;;fsQCA;fsQCA;performance;performance;conditional;conditional;"CONFIGURATIONAL: no single AI function suffices - synergistic combinations (esp. customer service + cybersecurity with other functions); emergent capabilities: adaptive learning, predictive analytics, uncertainty mitigation";"synergistic combinations of AI-enabled functions (esp. customer service and cybersecurity); emergent capabilities (adaptive learning, predictive analytics, uncertainty mitigation)";Superior firm performance results from synergistic configurations of AI applications across business functions, particularly those combining customer service and cybersecurity, rather than from isolated AI use.;SAMPLE;
