eid;study_id;authors;year;journal;ajg2024;doi;pdf;theoretical_lens;method;sample;country_region;industry;ai_measure;outcome_construct;performance_measure;ca_measure;effect_direction;conditions;key_finding;quality_notes;coding_status
2-s2.0-85166410907;S11;"Ali Mohamad T.; Bastone A.; Bernhard F.; Schiavone F.";2023;Journal of Organizational Change Management;2;10.1108/JOCM-03-2023-0057;Ali_2023_JOCM-03-2023-0057.pdf;RBV (substitution/complementation);case study;single case (CMC Dubai): 9 semi-structured interviews with robotic-surgery team + archival data, triangulated;UAE;healthcare;case observation (adoption of AI/robotic surgery);both;four qualitative outcome categories: clinical (errors/infections down, patient experience), financial (quantified: ~500K/month at 30 robotic cases), organizational (resource allocation), technological;competitive position with explicit competitor comparison: patient choice over competitors, bargaining power with third-party payers, differentiation, upper hand over competition (P1);positive;"qualified robotic team incl. revenue-cycle team (capability prerequisite); cultural shift in medical community; regulatory approval (DHA, case-by-case); high acquisition costs not covered by insurance (entry barrier)";AI-enabled robotic surgery improves clinical, financial and technological outcomes and strengthens the competitive position of the healthcare organization.;"Single case (CMC Dubai), 9 interviews + archival triangulation; qualitative but with quantified financial claims and genuine competitor-comparative reasoning";final
2-s2.0-85159147270;S12;"Czarnitzki D.; Fernández G.P.; Rammer C.";2023;Journal of Economic Behavior and Organization;3;10.1016/j.jebo.2023.05.008;Czarnitzki_2023_j-jebo-2023-05-008.pdf;GPT (general-purpose technology);panel econometrics;"5,851 firms (409 AI users, ~7%), German CIS 2018 (ZEW); cross-section OLS/2SLS-IV + panel subset with IV-FE, entropy balancing";Germany;cross-industry;survey (CIS AI adoption dummy + intensity of AI use in business processes);performance;firm productivity (labor- and value-added-based);;positive;;"AI adoption is robustly associated with higher firm productivity in representative German data; the effect grows with usage intensity.";"Representative innovation survey + IV strategy - one of the methodically strongest positive findings; robustness across adoption dummy AND intensity/breadth measure (2.5 of 20 method-area combos avg); no moderators tested -> unconditional-evidence contrast group (with S09)";final
2-s2.0-85159269194;S13;"Huang C.K.T.; Lee Y.T.";2023;Data Base for Advances in Information Systems;2;10.1145/3595863.3595866;Huang_2023_3595863-3595866.pdf;business value of IT (event-study framing);event study;109 AI implementation announcements 2014-2019, S&P 500 components (Compustat) + Google Search event collection;USA;cross-industry;announcements (AI implementation);performance;firm market value (positive abnormal returns on event day);;positive;"announcement detail (detailed > vague); IT vs non-IT firms (sig. difference); frequency of negative words in announcement (negative correlation)";Markets reward AI implementation announcements on average - more so when announcements are detailed and come from IT firms.;"Short-window event study; counterpoint to Lui 2022 (S08) | SAMPLE-CHECK OK: event study/positive confirmed (109 announcements, positive abnormal returns)";final
2-s2.0-85124616860;S14;"Krakowski S.; Luger J.; Raisch S.";2023;Strategic Management Journal;4*;10.1002/smj.3387;krakowski2023artificial.pdf;RBV;panel econometrics;same chess players across conventional, centaur and engine tournaments (controlled competitive setting);multi-country (tournament data);non-firm setting (chess as controlled competition);AI (engine) adoption in competitive interaction;both;competitive performance (game outcomes/ratings);sources of persistent performance heterogeneity (= sustained advantage) across settings;conditional;"substitution: traditional human capabilities become obsolete; complementation: new human-machine capabilities emerge that are unrelated or negatively related to traditional ones";BENCHMARK: AI adoption shifts the sources of competitive advantage - a new decision-making resource emerges at the human-AI intersection, unrelated to traditional capability.;"Chess setting = high internal validity, limited external validity to firms; SMJ 4* | SAMPLE-CHECK OK: chess panel design verified in prior full read (benchmark)";final
2-s2.0-85176106237;S15;"Samadhiya A.; Kumar A.; Yadav S.; Luthra S.; Jabbour C.J.C.; Agrawal R.";2023;Industrial Marketing Management;3;10.1016/j.indmarman.2023.11.002;Samadhiya_2023_j-indmarman-2023-11-002.pdf;dynamic capability view + RBV;mixed;in-depth interviews with senior B2B managers + PLS-SEM on 142 responses;India;cross-industry (B2B, climate management context);survey construct (AI-based partner relationship management implementation);both;perceived firm performance (survey scale);perceived sustainable competitiveness (survey scale);positive;"ICT capability (prerequisite); technological readiness (prerequisite); firm fit";AI-based partner relationship management improves firm performance and sustainable competitiveness, provided ICT capability and technological readiness are in place.;Perceptual, mixed methods;final
2-s2.0-85139424995;S16;"Wu C.W.; Monfort A.";2023;Psychology and Marketing;3;10.1002/mar.21737;Wu_2023_mar-21737.pdf;marketing capabilities / market orientation (no grand theory);survey-SEM;"278 food firms (CEO/marketing managers), Taiwan, survey Mar-Aug 2020, RR 33%; SEM + supplementary fsQCA";Taiwan;food manufacturing;survey construct (implementation of AI marketing strategy);performance;perceived firm performance (survey scale);;positive;fsQCA configurations: marketing capabilities + customer value co-creation + market orientation + AI strategy jointly form necessary and sufficient recipes for high performance;AI marketing strategy raises firm performance, but only as part of configurations with marketing capabilities, co-creation and market orientation - a configurational result.;"Perceptual; fsQCA as supplementary configurational analysis (necessary/sufficient recipes) - Fredrich-relevant detail lives in conditions column";final
2-s2.0-85178220723;S17;"Babina T.; Fedyk A.; He A.; Hodson J.";2024;Journal of Financial Economics;4*;10.1016/j.jfineco.2023.103745;Babina_2024_j-jfineco-2023-103745.pdf;GPT / economics of technology (no management lens);panel econometrics;"1,993 US Compustat firms; resume-based AI workforce measure (Cognism), robust to job-postings measure; IV = university AI graduate supply";USA;cross-industry;resume-based (share of AI-skilled workers as firm AI investment);performance;growth in sales, employment, and market valuation;;positive;"channel: product innovation (not process efficiency); gains concentrate among ex-ante LARGER firms -> rising industry concentration (superstar dynamics)";"BENCHMARK: AI-investing firms grow in sales, employment and value via product innovation; benefits concentrate among large firms, increasing concentration.";"IV strategy, very rigorous; JFE 4*";final
2-s2.0-85165164604;S18;"Cannas V.G.; Ciano M.P.; Saltalamacchia M.; Secchi R.";2024;International Journal of Production Research;3;10.1080/00207543.2023.2232050;Cannas_2024_00207543-2023-2232050.pdf;SCOR process framework (OM);case study;multiple case study: 6 companies, 17 AI implementation cases, semi-structured interviews;Italy;manufacturing / supply chain;case observation (AI applications in SCOR processes);performance;qualitative competitiveness outcomes: costs, lead times, service level, quality, safety, sustainability;;positive;barriers as boundary conditions: data quality, AI skills, high investment needs, unclear economic benefits, lack of AI cost-analysis experience;AI improves supply-chain competitiveness across SCOR processes, but realization depends on overcoming data-quality, skill and investment-evaluation barriers.;"Qualitative multi-case; authors explicitly disclaim generalization";final
2-s2.0-85207654327;S19;"Pesqueira A.; de Bem Machado A.; Bolog S.; Sousa M.J.; Pereira R.";2024;Computers and Industrial Engineering;2;10.1016/j.cie.2024.110655;Pesqueira_2024_j-cie-2024-110655.pdf;governance/compliance frameworks (no grand theory);mixed;comparative 4 pharma companies (2 AI adopters vs 2 non-adopters) + 2-round Delphi with 53 participants;Europe (EU tendering context);pharmaceuticals;adoption status (AI in tender management);both;operational efficiency in tender management (processing times, decision quality, document accuracy) - expert-rated/qualitative;"expert-rated competitiveness dimensions per company (Delphi, Likert+IQR); bid competitiveness in tendering context";conditional;"governance and ethical frameworks (contingency, per conclusions); regulatory compliance (EU AI Act, GDPR); organizational readiness; senior management involvement (identified critical factor); alignment with business goals";AI adopters manage pharmaceutical tendering faster and with better decisions than non-adopters, but only sustainably within robust governance and compliance structures.;"Dual-method: comparative 4-firm cases + 2-round Delphi (53 participants) with quantified consensus; expert-judgment based evidence";final
2-s2.0-85179066944;S20;"Pham P.; Zhang H.; Gao W.; Zhu X.";2024;Journal of Business Research;3;10.1016/j.jbusres.2023.114402;Pham_2024_j-jbusres-2023-114402.pdf;organizational information processing theory (OIPT);panel econometrics;941 AI hospital-year obs + 941 matched non-AI hospital-year obs (246 matched hospitals), 40 US states, 2000-2020;USA;healthcare (hospitals);adoption dummy (hospital AI adoption);performance;outpatient revenue, inpatient revenue, productivity, occupancy;;positive;"market share (larger-share hospitals adopt AI and benefit); endogeneity control essential - naive estimates misleading";"Hospitals with larger market share adopt AI and gain in revenue, productivity and occupancy; without endogeneity controls the performance effects are misestimated.";Matched-sample design with endogeneity controls;final
2-s2.0-85182570866;S21;"Sullivan Y.; Fosso Wamba S.";2024;Journal of Business Research;3;10.1016/j.jbusres.2024.114500;Sullivan_2024_j-jbusres-2024-114500.pdf;dynamic capabilities / organizational agility;survey-SEM;"two-wave survey, 107 US executives completing both waves (of 225 wave-1; 47.5% effective RR), panel-recruited IT+business executives";USA;cross-industry;survey constructs (AI-enabled automation, AI-enabled analytics, AI-enabled relational capabilities);performance;firm performance + process innovation + product innovation (survey scales);;conditional;"ARMC full mediator (no direct AI->performance paths modeled); environmental hostility (negative moderator on automation->ARMC -0.23*; relational path turns n.s.); environmental dynamism moderates; only 10/18 conditional indirect effects significant";"AI capabilities pay off through the firms adaptive response to market changes; environment hostility/dynamism condition how much each AI capability contributes.";"Two-wave design (stronger than cross-section); perceptual measures; effect highly environment-selective";final
2-s2.0-85207802048;S22;"Sun Z.; Che S.; Wang J.";2024;Technology in Society;2;10.1016/j.techsoc.2024.102752;Sun_2024_j-techsoc-2024-102752.pdf;Solow paradox / production economics (no mgmt lens);panel econometrics;"3,235 Chinese listed firms, 2007-2021; fixed effects + system GMM + mediation models";China;cross-industry (listed firms);"annual-report text (frequency of AI-related terms); controls from CSMAR/RESSET";performance;firm total factor productivity;;positive;"stronger in state-controlled, internationally oriented, innovative firms; mechanism: reduced information asymmetry (key channel), specialized division of labor, green innovation; supply-chain digitalization policy amplifies; effect SLOWS over the long run";AI raises firm productivity in China - most for state-controlled, international and innovative firms - but the productivity boost decays over time.;"Large panel, GMM; dynamic decomposition of the effect";final
2-s2.0-85189952414;S23;"Zebec A.; Indihar Štemberger M.";2024;Business Process Management Journal;2;10.1108/BPMJ-07-2023-0566;Zebec_2024_BPMJ-07-2023-0566.pdf;IT business value model;survey-SEM;448 organisations, EU, serial multiple mediation SEM;EU;cross-industry;survey construct (AI adoption);performance;organizational performance (survey scale);;positive;"serial mediation: decision-making quality and business-process performance carry the effect; process automation, organizational learning, process innovation as complementary partial mediators";AI creates business value indirectly: through better decisions and business-process performance, complemented by automation, learning and process innovation.;"Perceptual, cross-section; mediation-heavy design";final
2-s2.0-85219041263;S24;"Alam S.S.; Kokash H.A.; Ahsan M.N.; Ahmed S.";2025;International Journal of Hospitality Management;3;10.1016/j.ijhm.2025.104133;Alam_2025_j-ijhm-2025-104133.pdf;RBV + dynamic capabilities + contingency theory;survey-SEM;336 respondents, stratified purposive sampling, hospitality industry;Malaysia;hospitality;survey construct (AI adoption + technology readiness);both;value creation (survey scale);sustainable competitive advantage (survey scale, modeled as mediator);positive;"SCA mediates AI adoption -> value creation; dynamic capabilities initially impede value creation (transition costs), later crucial under turbulence; technological turbulence moderates only the DC -> value creation path";"AI adoption creates value in hospitality mainly through sustainable competitive advantage as transmission channel; dynamic capabilities help only once transition costs are absorbed.";"Perceptual, cross-section; models CA explicitly (as mediator)";final
2-s2.0-105009422847;S25;"Alwakid W.N.; Dahri N.A.";2025;Technology in Society;2;10.1016/j.techsoc.2025.103007;Alwakid_2025_j-techsoc-2025-103007.pdf;RBV;survey-SEM;250 SMEs (managers/owners), manufacturing + services;Saudi Arabia;SMEs (manufacturing + service);survey construct (AI capabilities: infrastructure, business integration, proactive stance);performance;sustainable SME performance (survey scale);;positive;"SME creativity and green innovations (mediators); green entrepreneurial orientation as parallel driver (risk-taking, innovativeness, proactiveness)";AI capabilities raise sustainable SME performance through creativity and green innovation - AI infrastructure plus proactive strategy is the entry condition.;Perceptual, cross-section;final
2-s2.0-105025451433;S26;"Banna H.; Alam A.";2025;International Journal of Entrepreneurial Behaviour and Research;3;10.1108/IJEBR-12-2024-1489;Banna_2025_IJEBR-12-2024-1489.pdf;none explicit (entrepreneurship/innovation economics);panel econometrics;"unbalanced panel of 1,479 firms (~12,900 obs), 26 EU countries, 2012-2023; CGM multi-way clustering + 2SLS-IV";EU (26 countries);cross-industry;"AI-related venture-capital funding received (log), OECD AI Policy Observatory data (turning point USD 11.3M); robustness: AI job intensity, AI patents, industry-level IV";performance;firm revenue growth;;conditional;"U-SHAPE with QUANTIFIED turning point: ~USD 11.3M AI venture funding (Model 5: -0.679 linear, +0.140 quadratic) - below: revenue drag, above: gains; coupling with R&D innovation strategy amplifies (standalone AI insufficient)";AI investment follows a U-shaped payoff: short-term revenue drag, long-term gains - and only firms coupling AI with R&D strategy capture the upside.;"IV + clustering robustness; investment timing as condition - direct RQ fit";final
2-s2.0-105007145029;S27;"Basnet A.; Elias M.; Salganik-Shoshan G.; Walker T.; Zhao Y.";2025;International Review of Financial Analysis;3;10.1016/j.irfa.2025.104378;Basnet_2025_j-irfa-2025-104378.pdf;disclosure/signaling (finance);panel econometrics;"US firms, 10-K filings 2005-2018 (pre-hype window); AI mentions classified actionable/speculative/irrelevant; causal design";USA;cross-industry;10-K text (actionable vs speculative vs irrelevant AI disclosures);performance;"firm value (market valuation); R&D spending, patents, lagged productivity as channels";;conditional;"disclosure SUBSTANCE: actionable disclosures -> valuation gains + innovation + lagged productivity; speculative/irrelevant -> nothing; silent or vague peers penalized";"Markets reward only substantive (actionable) AI disclosures - early adopters with real implementation plans gain value via innovation; vague AI talk earns nothing.";"Causal identification; complements AI-washing evidence (Song X. 2026)";final
2-s2.0-105003414119;S28;"Bin-Nashwan S.A.; Li J.Z.";2025;Technology in Society;2;10.1016/j.techsoc.2025.102913;BinNashwan_2025_j-techsoc-2025-102913.pdf;RBV + KBV;survey-SEM;433 valid responses (461 screened, 5000+ invitations), Chinese accounting professionals, online survey Dec 2023-Jan 2024, PLS-SEM;China;accounting services;survey construct (AI-infused knowledge systems);performance;accounting-firm performance: efficiency, accuracy, compliance, reporting innovation, timeliness (survey);;conditional;"no direct AIK->performance path modeled; mediators: green human capital + green structural capital (carry effect), green RELATIONAL capital channel NULL; sustainability culture (moderator on GIC->performance)";"AI-infused knowledge improves accounting-firm performance through green human and structural capital, amplified by sustainability culture; relational capital plays no role.";"Perceptual panel survey; author affiliations (Oman/Malaysia) misleading - respondents are Chinese; GIC items benchmarked vs competitors";final
2-s2.0-105024972211;S29;"Cao L.; Yang J.; Chen Y.T.";2025;European Management Review;3;10.1111/emre.70042;Cao_2025_emre-70042.pdf;dynamic capabilities + business process perspective;fsQCA;"Study 1: instrument from 6,519 AI documents of 37 retailers; Study 2: fsQCA on survey of 140 U.S.-based retail managers";USA;retail;validated multi-level instrument (AI integration at task/function/firm level);performance;efficiency and innovation outcomes (configurational);;conditional;"CONFIGURATIONAL: no single AI function suffices - synergistic combinations (esp. customer service + cybersecurity with other functions); emergent capabilities: adaptive learning, predictive analytics, uncertainty mitigation";Retail performance comes from configurations of AI-enabled functions, not isolated AI uses - a directly configurational (fsQCA) result.;"fsQCA - Fredrich-school methodology; two-stage instrument validation | SAMPLE-CHECK OK: fsQCA/conditional confirmed (configurational design)";final
2-s2.0-105008761610;S30;Chakraborty D.;2025;Current Issues in Tourism;2;10.1080/13683500.2025.2517829;Chakraborty_2025_13683500-2025-2517829.pdf;TOE + personality (narcissism);survey-SEM;two-wave online survey, India: 1,487 invited, wave 1 n=437, wave 2 n=408 (hotel/resort managers, multi-channel recruitment);India;hospitality (hotels & resorts);survey construct (GenAI adoption);both;firm/organisational performance (survey scales);competitive advantage / competitive positioning (survey scale);positive;"technological readiness (TOE driver); leader narcissism moderates adoption-factor relationships and GAI effects on competitive positioning";GenAI adoption improves hotels competitive advantage and performance, with leadership personality (narcissism) shaping how adoption translates into outcomes.;"Longitudinal design (rare in corpus); perceptual measures";final
2-s2.0-105022720058;S31;"Chiu S.Y.; Huang C.P.; Chiu Y.H.; Tzeng K.Y.";2025;Business Ethics the Environment and Responsibility;2;10.1111/beer.70054;Chiu_2025_beer-70054.pdf;efficiency analysis (DEA framework, no grand theory);DEA;"33 publicly listed semiconductor firms; three-stage DEA (profit, sustainability, market) + Tobit regressions";Taiwan;semiconductors;patents (AI-driven innovation proxied by patent activity);performance;stage efficiencies: profitability, ESG/sustainability, market valuation;;mixed;"stage-specific: AI innovation positive on SUSTAINABILITY + MARKET stage efficiency, insignificant on PROFIT stage (size/leverage drive profit); firm scale raises profit efficiency but LOWERS sustainability/market efficiency (asymmetry)";AI-driven innovation lifts sustainability and market-valuation efficiency in semiconductors but NOT short-term profit efficiency - the payoff is stage-specific.;"Per full-text verdict: include; AI = patent proxy; n=33 small";final
2-s2.0-105006890870;S32;"D’Amico E.; Belitski M.; Braga A.; Savoie R.";2025;Journal of Technology Transfer;3;10.1007/s10961-025-10217-7;DAmico_2025_s10961-025-10217-7.pdf;knowledge spillover / innovation economics;panel econometrics;14,143 UK firms, 2004-2020;UK;cross-industry;archival: Beauhurst-identified AI technology/product use, matched to Business Structure Database + UK Innovation Survey (2004-2020, biennial);performance;innovation performance (knowledge spillover of innovation);;conditional;"complementarity with own R&D investment (AI pays only if it complements internal R&D); AI SUBSTITUTES knowledge collaboration with certain external partners";AI adoption boosts innovation only when paired with the firms own R&D investment - and partly replaces external knowledge collaboration.;"Large archival panel; innovation outcome (performance-near per criteria) | SAMPLE-CHECK OK: panel/conditional confirmed (R&D complementarity condition)";final
2-s2.0-105015503049;S33;"Feng L.; Hu J.; Huang M.; Irfan M.; Hu M.";2025;Quarterly Review of Economics and Finance;2;10.1016/j.qref.2025.102042;Feng_2025_j-qref-2025-102042.pdf;knowledge orchestration / data assetization (dual-channel model);panel econometrics;"4,004 Chinese A-share firms, 2011-2023; procurement-based AI adoption index + patents + supply-chain data";China;cross-industry (listed firms);procurement index (AI adoption from procurement records);performance;innovation output and innovation efficiency;;positive;"stronger for large incumbents and growth-stage firms; executives with IT backgrounds amplify; highly innovative firms diversify supply chains to reduce resource risk";AI adoption raises innovation output and efficiency, most where firm maturity, scale and IT-savvy leadership provide absorptive conditions.;"Novel procurement-based AI measure; archival panel";final
2-s2.0-105022609158;S34;"Fontanelli L.; Guerini M.; Miniaci R.; Secchi A.";2025;Journal of Economic Behavior and Organization;3;10.1016/j.jebo.2025.107336;Fontanelli_2025_j-jebo-2025-107336.pdf;none explicit (productivity dynamics);panel econometrics;"French ICT survey 2019, firm-level; balancing/matching robustness";France;cross-industry;"survey (predictive AI use; buyers vs in-house developers)";performance;VOLATILITY of productivity growth (not the level);;conditional;"AI BUYERS: higher volatility; in-house DEVELOPERS: none; complementary human capital (share of ICT engineers/technicians) mitigates the buyer effect";"Off-the-shelf AI raises the riskiness of productivity outcomes; developing in-house or holding complementary ICT human capital neutralizes it.";Unusual outcome (volatility) - valuable nuance for synthesis;final
2-s2.0-105017466191;S35;"Guo Y.; Chen Y.; Singh S.K.";2025;International Marketing Review;3;10.1108/IMR-10-2024-0418;Guo_2025_IMR-10-2024-0418.pdf;dynamic capabilities hierarchy + international marketing capabilities;survey-SEM;322 SMEs using cross-border platforms;China;cross-industry (emerging-market SMEs);survey construct (AI adoption coupled with strategic agility);competitive_advantage;;international advantage: product innovation + brand upgrading (GVC position, survey scales);positive;"international marketing capabilities (mediator); platform embeddedness DEPTH (inverted U on product innovation) and BREADTH (inverted U on brand upgrading) - medium embeddedness optimal";AI adoption coupled with strategic agility upgrades SMEs global value-chain position through marketing capabilities - but only at moderate platform embeddedness (inverted-U).;"Perceptual; non-linear boundary conditions";final
